precontext,target_sentence,postcontext,substitutions,replace,replace_proc
,Grande dame of cooking still going strong at 90: Julia Child celebrates in San Francisco,"How does it feel to turn 90 and have attained the status of an icon, a living legend?","{'dame': 'diva;lady;mistress;mother;woman', 'cooking': 'cook;cuisine;food;food preparation;kitchen;the kitchen', 'still': 'again;all the same;be;calmly;continually;continuously;even so;however;likewise;moreover;nevertheless;quietly;yet', 'going': 'cook;function;live;move;operate;progress;run;stay;work', 'strong': 'active;adeptly;boldly;effortlessly;full steam;good;great;robustly;tough;well', 'celebrates': 'dance;enjoy;observe joyfully;party;rejoice'}","{'dame': 'd;D;n;th;b', 'cooking': 'food;pastry;wine;manners;cuisine;living', 'still': 'Still;keeps;also;,;heads;mum;head;remains;continues;:;still;is', 'going': 'goes;slaying;standing;living;walking;riding;heading;turning;killing', 'strong': 'strength;big;gold;though;around;well;pro;viral;undefeated;wild', 'celebrates': 'celebrated;celebrating;celebrations;remembered;dies'}","{'dame': 'd;d;n;th;b', 'cooking': 'food;pastry;wine;manner;cuisine;living', 'still': 'still;keep;also;,;head;mum;head;remains;continues;:;still;is', 'going': 'go;slaying;standing;living;walking;riding;heading;turning;killing', 'strong': 'strength;big;gold;though;around;well;pro;viral;undefeated;wild', 'celebrates': 'celebrated;celebrating;celebration;remembered;dy'}"
,Hadson Corp. said it expects to report a third-quarter net loss of $17 million to $19 million because of special reserves and continued low natural-gas prices.,"The Oklahoma City energy and defense concern said it will record a $7.5 million reserve for its defense group, including a $4.7 million charge related to problems under a fixed-price development contract and $2.8 million in overhead costs that wont be reimbursed.","{'said': 'add;announce that;cite;communicate;confirm;declare;report;state', 'expects': 'anticipate;figure;forecast;foresee;plan;predict;want', 'report': 'announce;disclose;file;have;post;record;render;show;state', 'third': 'tertiary;tri', 'quarter': '3 month period;period;semester;session;term', 'net': 'after expense pay;clean;final;monetary;post cost;take home;total', 'loss': 'decrease;deficit;fall', 'special': 'certain;particular;reserved;specialized;unique', 'reserves': 'indicator;reservoir;saving;stock;storage;store', 'continued': 'constant;continue;endless;extend;maintain;ongoing;prolonged;remain;repeat;steady;still;sustain', 'low': 'cheap;curtail;decrease;deflate;discounted;low;reduce;slump;small;suppress;weak', 'natural': 'earth make;non fabricate;organic;raw;whole', 'gas': 'fuel;gasoline;oil;petroleum', 'prices': 'ask price;charge;compensation;cost;earning;fee;rate;retail price;sale;value'}","{'said': 'said;says;reported;announced;today;confirmed;Said;Friday', 'expects': 'expect;intends;expected;plans;stands;intend;plan', 'report': 'reported;record;post;reports;book;incur;reporting;declare;report', 'third': 'second;third', 'quarter': 'quarters;year;half;quarterly;period', 'net': 'net;book;operating;cash;total;consolidated;impairment', 'loss': 'losses;income;miss', 'special': 'lost;lower;limited;declining;diminished', 'reserves': 'depletion;conditions;provisions;charges;losses;expenses', 'continued': 'persistent;continuing;prolonged;persisted;ongoing;continues;continue;extremely;sustained;including;exceptionally;unusually', 'low': 'lower;depressed;weak;higher;falling;declining;rising;Low;low;volatile;stable', 'natural': 'greenhouse;natural;nat;gas;shale', 'gas': 'resource;oil;power;fuel', 'prices': 'price;production;,;costs;revenues;pricing;rates;volumes;revenue;reserves'}","{'said': 'said;say;reported;announced;today;confirmed;said;friday', 'expects': 'expect;intends;expected;plan;stand;intend;plan', 'report': 'reported;record;post;report;book;incur;reporting;declare;report', 'third': 'second;third', 'quarter': 'quarter;year;half;quarterly;period', 'net': 'net;book;operating;cash;total;consolidated;impairment', 'loss': 'loss;income;miss', 'special': 'lost;lower;limited;declining;diminished', 'reserves': 'depletion;condition;provision;charge;loss;expense', 'continued': 'persistent;continuing;prolonged;persisted;ongoing;continues;continue;extremely;sustained;including;exceptionally;unusually', 'low': 'lower;depressed;weak;higher;falling;declining;rising;low;low;volatile;stable', 'natural': 'greenhouse;natural;nat;gas;shale', 'gas': 'resource;oil;power;fuel', 'prices': 'price;production;,;cost;revenue;pricing;rate;volume;revenue;reserve'}"
,"Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesnt already own in a stock swap.","Heritage, which owns 51% of POPs 3.6 million shares outstanding, said it will exchange one share of a new preferred stock for each POP common share it doesnt already own.","{'said': 'affirm;announce;mention;report;reveal;state', 'offered': 'attempt;bid;make a bid;make an offer;proffer;propose;suggest;want', 'buy': 'acquire;attain;invest in;procure;purchase', 'shares': 'interest;stake;stock;trade;trading unit', 'already': 'currently;now;presently;yet', 'own': 'claim;control;have;hold;keep;possess', 'stock': 'company stock;market;share;stake;trading unit', 'swap': 'barter;exchange;interchange;market;trade'}","{'said': 'announced;said;CNBC;says;Reuters;reported', 'offered': 'offers;agreed;intends;plans;offer;proposed;wants;aims', 'buy': 'purchase;swap;call;bought;pick', 'shares': 'share;votes;whole;stock;rights', 'already': 'yet;even;currently;actually', 'own': 'possess;owns;hold;owned;owning;buy', 'stock': 'share;equity;free;capital;dividend', 'swap': 'exchange;transfer;trade;issue;deal'}","{'said': 'announced;said;cnbc;say;reuters;reported', 'offered': 'offer;agreed;intends;plan;offer;proposed;want;aim', 'buy': 'purchase;swap;call;bought;pick', 'shares': 'share;vote;whole;stock;right', 'already': 'yet;even;currently;actually', 'own': 'posse;owns;hold;owned;owning;buy', 'stock': 'share;equity;free;capital;dividend', 'swap': 'exchange;transfer;trade;issue;deal'}"
,Inauguration of free zone in Dubai for e-commerce,Dubai 10-28 (FP) -,"{'free': 'free;independent;open;self govern;unfettered;unlimited;unrestricted', 'zone': 'area;district;range;region;section;sector;territory', 'e-commerce': 'business;e business;e sale;e trade;electronic commerce;online commerce;trade;web marketing'}","{'free': 'Dubai;freedom;trade;credit;Freedom;freed;flight', 'zone': 'zones;trade;agency;credit;pass;market;speech', 'e-commerce': 'e;c;de;u;un;Re;C;M'}","{'free': 'dubai;freedom;trade;credit;freedom;freed;flight', 'zone': 'zone;trade;agency;credit;pas;market;speech', 'e-commerce': 'e;c;de;u;un;re;c;m'}"
,Integra-A Hotel & Restaurant Co. said its planned rights offering to raise about $9 million was declared effective and the company will begin mailing materials to shareholders at the end of this week.,"Under the offer, shareholders will receive one right for each 105 common shares owned.","{'said': 'announce;assert;cite;declare;report;state', 'planned': 'arrange;blueprint;intend;orchestrate;plot;ready;schedule;scheme', 'rights': 'benefit;claim;entitlement;law;ownership;privilege to buy;share;stock', 'offering': 'bid;offer;pledge;promotion;proposal;provision;sale', 'raise': 'add;bring in;earn;fundraise;gain;get;make', 'declared': 'announce;announce to be;claim;deem;proclaim;pronounce;report', 'effective': 'active;effectual;efficacious;establish;implement;in effect;okay;successful;valid;work;workable', 'company': 'business;corporation;firm;organization', 'begin': 'commence;initiate;start', 'mailing': 'advertise;convey;deliver;release;send;ship;transmit', 'materials': 'content;datum;form;good;info;information;product', 'shareholders': 'holder;investor;owner;stock owner;stockholder', 'end': 'close;closing;conclusion;final;finish;last part;latter part', 'week': '7 day period;Friday;period'}","{'said': 'says;said;reported;announces;announced;Friday', 'planned': 'proposed;plan;announced;purported;equity;revised;recent;reverse', 'rights': 'share;stock;equity;public;cash;shares;debt;capital', 'offering': 'offer;issue;offered;IPO;proposal;exercise;solicitation', 'raise': 'raised;raising;raises;invest;collect;shareholders;pay', 'declared': 'already;deemed;declare;officially;immediately;declares;fully', 'effective': 'void;successful;official;surplus;unconditional;valid;effectively;invalid;free;illegal;cash', 'company': 'firm;corporation;group;latter', 'begin': 'resume;start;send', 'mailing': 'distributing;issuing;offering;sending;shipping;delivering;binding', 'materials': 'notification;proxies;notices;shares;papers;cash;letters', 'shareholders': 'investors;directors;employees;retirees;trustees', 'end': 'ends;close;ending;line;ease;latest;dawn', 'week': 'month;year;quarter'}","{'said': 'say;said;reported;announces;announced;friday', 'planned': 'proposed;plan;announced;purported;equity;revised;recent;reverse', 'rights': 'share;stock;equity;public;cash;share;debt;capital', 'offering': 'offer;issue;offered;ipo;proposal;exercise;solicitation', 'raise': 'raised;raising;raise;invest;collect;shareholder;pay', 'declared': 'already;deemed;declare;officially;immediately;declares;fully', 'effective': 'void;successful;official;surplus;unconditional;valid;effectively;invalid;free;illegal;cash', 'company': 'firm;corporation;group;latter', 'begin': 'resume;start;send', 'mailing': 'distributing;issuing;offering;sending;shipping;delivering;binding', 'materials': 'notification;proxy;notice;share;paper;cash;letter', 'shareholders': 'investor;director;employee;retiree;trustee', 'end': 'end;close;ending;line;ease;latest;dawn', 'week': 'month;year;quarter'}"
,"Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.",The move boosts Intelogic Chairman Asher Edelmans stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,"{'said': 'announce;confirm;declare;disclose;explain;report;state', 'bought': 'acquire;aquire;obtain;procure;purchase', 'shares': 'allotment;company share;part;ration;stake;stock;trading unit;unit', 'common': 'commonly issue;group;non preferred;ordinary;regular', 'stock': 'interest;share;trading unit', 'unaffiliated': 'dislocate;independent;separate;unconnected;unrelated;untie', 'shareholder': 'holder;investor;owner;stakeholder;stock owner;stockholder', 'share': 'company share;measure;part;piece;ration;stake;stock;trading unit'}","{'said': 'says;announced;today;say;said;reported;yesterday', 'bought': 'purchased;acquired;buys;sold;picked', 'shares': 'share;dollars;million;pounds;votes;acres;rights;euros', 'common': 'share;preferred;voting;capital;ordinary', 'stock': 'equity;capital;share', 'unaffiliated': 'unaff;aff;unf;un;uncom;uncon', 'shareholder': 'investor;shareholders;holder;proxy;holding;buyer', 'share': 'million;ying;ake;cent;vote;year;shares;billion'}","{'said': 'say;announced;today;say;said;reported;yesterday', 'bought': 'purchased;acquired;buy;sold;picked', 'shares': 'share;dollar;million;pound;vote;acre;right;euro', 'common': 'share;preferred;voting;capital;ordinary', 'stock': 'equity;capital;share', 'unaffiliated': 'unaff;aff;unf;un;uncom;uncon', 'shareholder': 'investor;shareholder;holder;proxy;holding;buyer', 'share': 'million;ying;ake;cent;vote;year;share;billion'}"
,Iraq clears visit by Ohio official,By Scott Montgomery Washington,"{'clears': 'allow;approve;give clearance to;okay;pass;sanction', 'visit': 'appointment;arrival;stay;stop;travel;trip', 'official': 'ambassador;authority;bureaucrat;director;executive;head;leader;politician;representative;statesman'}","{'clears': 'cleared;clear;clearing;clearance;House;review', 'visit': 'welcome;veto;uled;brief;trip;ed', 'official': 'ans;officials;governor;State;representative;House;diplomat;executive;Press;Secretary'}","{'clears': 'cleared;clear;clearing;clearance;house;review', 'visit': 'welcome;veto;uled;brief;trip;ed', 'official': 'an;official;governor;state;representative;house;diplomat;executive;press;secretary'}"
,Lawmaker Appeals for Innocent Iraqis,"By HASSAN ABDULWAHAB, Associated Press Writer",{'Innocent': 'blameless;civilian;guiltless;hapless;honest;uninvolved'},{'Innocent': 'Four;Conv;Sent;Final;Killing;More'},{'Innocent': 'four;conv;sent;final;killing;more'}
,"Magna International Inc. s chief financial officer, James McAlpine, resigned and its chairman, Frank Stronach, is stepping in to help turn the automotive-parts manufacturer around, the company said.","Mr. Stronach will direct an effort to reduce overhead and curb capital spending until a more satisfactory level of profit is achieved and maintained, Magna said.","{'chief': 'executive;head;lead;preside;primary;senior;top', 'financial': 'budget;budgetary;finance;fiscal;monetary;monetary matter;money', 'officer': 'authority;department member;executive;leader;office holder;official', 'resigned': 'forfeit;leave;quit;step down', 'chairman': 'chief;chief officer;director;executive;head;leader;officer;president', 'stepping': 'come;fill;walk', 'help': 'aid;aid turn;assist;assist to;contribute to;facilitate to;participate in;support', 'turn': 'change;fix;flip', 'automotive': 'auto;automobile;car;motor vehicle;vehicle', 'parts': 'accessory;component;element;good;piece;product;replacement piece', 'manufacturer': 'company;creator;maker;producer', 'company': 'business;corporation;currency;firm;organization', 'said': 'announce;cite;claim;declare;disclose;maintain;reveal;state'}","{'chief': 'chief;Chief;head;first;former;corporate;fourth', 'financial': 'finance;chief;executive;operating;fiscal;cash;accounting', 'officer': 'arm;officers;advisor;manager;chief;affairs', 'resigned': 'retired;resignation;quit;said', 'chairman': 'president;treasurer;successor;predecessor;chair;director;replacement;boss', 'stepping': 'sworn;coming;ped', 'help': 'helping;assist;helped;help;helps;aid;quickly;si', 'turn': 'turning;turned;turns', 'automotive': 'auto;automobile;vehicle;otive;body', 'parts': 'equipment;components;electronics;part;assembly;industry;machinery', 'manufacturer': 'supplier;company;business;producer', 'company': 'firm;insurer;maker;group;conglomerate', 'said': 'announced;says;reported;noted;added;warned;confirmed;posted'}","{'chief': 'chief;chief;head;first;former;corporate;fourth', 'financial': 'finance;chief;executive;operating;fiscal;cash;accounting', 'officer': 'arm;officer;advisor;manager;chief;affair', 'resigned': 'retired;resignation;quit;said', 'chairman': 'president;treasurer;successor;predecessor;chair;director;replacement;bos', 'stepping': 'sworn;coming;ped', 'help': 'helping;assist;helped;help;help;aid;quickly;si', 'turn': 'turning;turned;turn', 'automotive': 'auto;automobile;vehicle;otive;body', 'parts': 'equipment;component;electronics;part;assembly;industry;machinery', 'manufacturer': 'supplier;company;business;producer', 'company': 'firm;insurer;maker;group;conglomerate', 'said': 'announced;say;reported;noted;added;warned;confirmed;posted'}"
,"Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.",The sale represents 10.2% of Meridians shares outstanding.,"{'said': 'announce;mention;state', 'sold': 'market;trade;transfer;vend', 'shares': 'interest;stake;stock;trade;trading unit;unit', 'common': 'average;group;normal;ordinary;regular', 'stock': 'interest;share;stake;trade;trading unit', 'family': 'estate;familial unit;group;line;lineage;member;relative', 'interests': 'affiliate;concern;desire;enterprise;holding;investment;rate;venture', 'share': 'interest;stake;stock;trade;trading unit'}","{'said': 'says;said;announced', 'sold': 'sells;offered;transferred;sell', 'shares': 'share;million;units;%;copies;calls', 'common': 'preferred;stock;voting;share;ordinary', 'stock': 'equity;shares;capital;share;stocks', 'family': 'group;Corp;Corporation;class;Inc;Ltd;Holdings', 'interests': ',;.;group;Ltd;today;al;trust;yesterday', 'share': 'shares;year;day;lot;ton'}","{'said': 'say;said;announced', 'sold': 'sell;offered;transferred;sell', 'shares': 'share;million;unit;%;copy;call', 'common': 'preferred;stock;voting;share;ordinary', 'stock': 'equity;share;capital;share;stock', 'family': 'group;corp;corporation;class;inc;ltd;holding', 'interests': ',;.;group;ltd;today;al;trust;yesterday', 'share': 'share;year;day;lot;ton'}"
,N.V. DSM said net income in the third quarter jumped 63% as the company had substantially lower extraordinary charges to account for a restructuring program.,"The Dutch chemical group said net income gained to 235 million guilders ($113.2 million), or 6.70 guilders a share, from 144 million guilders, or 4.10 guilders a share, a year ago.","{'said': 'affirm;announce;declare;disclose;note;report;reveal;state', 'net': 'clear;gross;profit;remain;take home;total', 'income': 'earning;gain;profit;return;revenue', 'third': 'Tri;late;number;recent;specified', 'quarter': '3 month period;interval;period;quadrant;quartern;term', 'jumped': 'escalate;gain;increase;leap;rise;surge', 'company': 'business;concern;corporation;enterprise;firm;group;organization', 'substantially': 'adequately;considerably;drastically;much;really;significantly;sufficiently;suitably', 'lower': 'curtail;decrease;few;less;lessen;reduce;small', 'extraordinary': 'additional;great;huge;rare;singular;special;unexpected;unprecedented;unusual', 'charges': 'cost;expenditure;expense;fee;price', 'account': 'be a cause;declare;document;recount;register;report;show;track;use', 'restructuring': 'change;rearrangement;rebuild;renovate;renovation;reorganization;restoration;streamlining', 'program': 'agenda;campaign;plan;project'}","{'said': 'reported;Says;says;Said;Corporate;noted;called;Corporation', 'net': 'quarterly;net;general;est;core;operating', 'income': 'profit;EPS;loss;net;margins', 'third': 'second;first;July;fourth;September', 'quarter': 'quarter;Sept;period;half;third;quarters', 'jumped': 'soared;surged;rose;leapt;grew;shot', 'company': 'group;firm;conglomerate;business;party;latter;maker', 'substantially': 'sharply;slightly;significantly;moved;adjusted;incurred;much;brought', 'lower': 'higher;reduced;lowered;cut;raised;smaller;increased', 'extraordinary': 'restructuring;impairment;special;interest;accounting;pension;finance;operating;corporate', 'charges': 'expenses;liabilities;charge;costs;provisions', 'account': 'prepare;pay;adjust;cater;compensate;provision;accounts;allow;prep', 'restructuring': 'turnaround;savings;bankruptcy;compensation;financial;takeover;transformation;recycling', 'program': 'plan;.;programme;year'}","{'said': 'reported;say;say;said;corporate;noted;called;corporation', 'net': 'quarterly;net;general;est;core;operating', 'income': 'profit;eps;loss;net;margin', 'third': 'second;first;july;fourth;september', 'quarter': 'quarter;sept;period;half;third;quarter', 'jumped': 'soared;surged;rose;leapt;grew;shot', 'company': 'group;firm;conglomerate;business;party;latter;maker', 'substantially': 'sharply;slightly;significantly;moved;adjusted;incurred;much;brought', 'lower': 'higher;reduced;lowered;cut;raised;smaller;increased', 'extraordinary': 'restructuring;impairment;special;interest;accounting;pension;finance;operating;corporate', 'charges': 'expense;liability;charge;cost;provision', 'account': 'prepare;pay;adjust;cater;compensate;provision;account;allow;prep', 'restructuring': 'turnaround;saving;bankruptcy;compensation;financial;takeover;transformation;recycling', 'program': 'plan;.;programme;year'}"
,OLYMPIC JUDGING SCANDAL DEEPENS WITH ARREST OF RUSSIAN CRIME FIGURE,"A Russian accused of being in organized crime was arrested in Italy on Wednesday on an American complaint that he conspired to fix the pairs figure skating and ice dancing competitions at the recent Salt Lake Winter Olympics, which were dominated by the sports judging scandals.",{'CRIME': 'corrupt;criminal;illicit;lawbreaking;mafia;mob;notorious;underworld'},{'CRIME': 'CR;PR;SC;GR;C;CH;CRE;SP'},{'CRIME': 'cr;pr;sc;gr;c;ch;cre;sp'}
,"Oshkosh Truck Corp., Oshkosh, Wis., estimated earnings for its fourth quarter ended Sept. 30 fell 50% to 75% below the year-earlier $4.5 million, or 51 cents a share.",The truck maker said the significant drop in net income will result in lower earnings for the fiscal year.,"{'estimated': 'appraise;approximate;assess;calculated;compute;determine;guess;predict', 'earnings': 'gain;income;net income;profit;revenue', 'fourth': 'final;last;quad', 'quarter': '3 month period;period;quad;quadrant;semester;term', 'ended': 'cease;close;end;final;finish;over;terminate', 'fell': 'decline;decrease;drop;fall;plummet;plunge', 'year': 'annual;period;season;term', 'earlier': 'ago;before;go by;past;previous;previously;prior', 'cents': 'pence;penny', 'share': 'piece;portion;stock;trade'}","{'estimated': 'reported;said;net;say;announced;consolidated;says;posted', 'earnings': 'profits;revenues;EPS;results;sales', 'fourth': 'quarterly;third;second', 'quarter': 'year;quarter;month;period;third;quarterly', 'ended': 'ending;ends;end;,;ended;delivered;concluded', 'fell': 'dropped;falling;slumped;plunged;narrowed;rose', 'year': 'years;yr;month;year', 'earlier': 'year;ago;prior;end;lier;quarter;ahead', 'cents': 'cent;%', 'share': 'year;unit;ton;say'}","{'estimated': 'reported;said;net;say;announced;consolidated;say;posted', 'earnings': 'profit;revenue;eps;result;sale', 'fourth': 'quarterly;third;second', 'quarter': 'year;quarter;month;period;third;quarterly', 'ended': 'ending;end;end;,;ended;delivered;concluded', 'fell': 'dropped;falling;slumped;plunged;narrowed;rose', 'year': 'year;yr;month;year', 'earlier': 'year;ago;prior;end;lier;quarter;ahead', 'cents': 'cent;%', 'share': 'year;unit;ton;say'}"
,PRESCRIPTION PRIVILEGES MAKE SOME PSYCHOLOGISTS ANXIOUS,(ATTENTION EDITORS: This article is for use by clients of The New York Times Syndicates SCIENTIFIC AMERICAN NEWS SERVICE.,{'MAKE': 'cause;compel;evoke;have;produce;render;turn'},{'MAKE': 'Makes;Make;make;FROM;FOR;Making;Made'},{'MAKE': 'make;make;make;from;for;making;made'}
,"Pacific First Financial Corp. said shareholders approved its acquisition by Royal Trustco Ltd. of Toronto for $27 a share, or $212 million.",The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end.,"{'said': 'allege;announce;claim;declare;mention;report;state', 'shareholders': 'holder;investor;owner;partner;shareowners;stock owner;stockholder', 'approved': 'accept;agree;agree with;allow;applaud;back;endorse;favor;give approval to;okay;sanction;support;vote for', 'acquisition': 'absorption;addition;attainment;buy;buyout;obtainment;procurement;purchase;takeover', 'share': 'company share;part;piece;portion;stock;stock portion;trading unit'}","{'said': 'says;announced;reported;hopes;today;said;indicated', 'shareholders': 'investors;directors;Thursday;today;shareholder;board;unanimously', 'approved': 'ratified;approve;approval;endorsed;authorized;announced;approving;supported;support;rejected;approves;unanimously;approved', 'acquisition': 'takeover;purchase;transaction;deal;sale;investment;acquisitions;offer;acquire', 'share': 'stock;shares;year;cent;share;day;quarter'}","{'said': 'say;announced;reported;hope;today;said;indicated', 'shareholders': 'investor;director;thursday;today;shareholder;board;unanimously', 'approved': 'ratified;approve;approval;endorsed;authorized;announced;approving;supported;support;rejected;approves;unanimously;approved', 'acquisition': 'takeover;purchase;transaction;deal;sale;investment;acquisition;offer;acquire', 'share': 'stock;share;year;cent;share;day;quarter'}"
,RESPONSIBLE SEAFOOD SALES ARE THE CATCH OF THE DAY,"ATTENTION EDITORS: This article from the NEWHOUSE NEWS SERVICE report of TUESDAY, JULY 30, 2002, is available as a separate buy.",{'SALES': 'barter;buying;deal;purchase;purchasing;transaction;vending'},{'SALES': 'SAL;CAS;STOR;PROGRAM;BAL;Sal;PAR'},{'SALES': 'sal;ca;stor;program;bal;sal;par'}
,"RMS International Inc., Hasbrouk Heights, N.J., facing a cash-flow squeeze, said it is seeking other financing sources and waivers from debenture holders.",The company said that because of softening sales it isnt in compliance with requirements that it maintain $3 million in working capital.,"{'facing': 'deal with;endure;experience;see', 'cash': 'currency;income;money', 'flow': 'availability;available;funding;income', 'squeeze': 'deficit;lapse;pinch;problem;scarcity;shortage;tightening', 'said': 'admit;announce;convey;declare;disclose;note;report;state', 'seeking': 'attempt;desire;explore;look for;pursue;search;search for;try;view;want', 'other': 'additional;alternate;alternative;different;distinct;further;more', 'financing': 'capital;currency;funding;lending;loan;monetary;revenue', 'sources': 'area;method;option;outlet', 'waivers': 'cancellation;disclaimer;dispensation;leave;option;postponement;quitclaim;relinquishment', 'debenture': 'bond;borrowing;debt;debt certificate;loan;unsecured bond;unsecured loan;voucher', 'holders': 'claimant;keeper;owner'}","{'facing': 'faces;faced;face;suffering', 'cash': 'current;cash;free', 'flow': 'cash;net;flow;Flow', 'squeeze': 'crunch;shortfall;loss;crisis;pressure;hole;situation', 'said': 'said;and;says;saying;Said;say;,;flagged', 'seeking': 'seek;pursuing;considering;awaiting;sought;eyeing;exploring;seeks;citing;seeking', 'other': 'undisclosed;new;alternative;various;unusual;unspecified;special', 'financing': 'funding;cash;undisclosed;financial;liquidity;finance;capital', 'sources': 'source;options;alternatives;arrangements', 'waivers': 'waiver;relief;exemptions;reimbursement;commitments;assurances;concessions;assistance', 'debenture': 'deb;val;b;subord;convertible;sec;secured;p', 'holders': 'holders;creditors;agreements'}","{'facing': 'face;faced;face;suffering', 'cash': 'current;cash;free', 'flow': 'cash;net;flow;flow', 'squeeze': 'crunch;shortfall;loss;crisis;pressure;hole;situation', 'said': 'said;and;say;saying;said;say;,;flagged', 'seeking': 'seek;pursuing;considering;awaiting;sought;eyeing;exploring;seek;citing;seeking', 'other': 'undisclosed;new;alternative;various;unusual;unspecified;special', 'financing': 'funding;cash;undisclosed;financial;liquidity;finance;capital', 'sources': 'source;option;alternative;arrangement', 'waivers': 'waiver;relief;exemption;reimbursement;commitment;assurance;concession;assistance', 'debenture': 'deb;val;b;subord;convertible;sec;secured;p', 'holders': 'holder;creditor;agreement'}"
,"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.","The St. Louis company earned $45.2 million, or 65 cents a share, compared with $84.9 million, or $1.24 a share, a year earlier.","{'reported': 'announce;communicate;declare;post;record;show;state', 'decline': 'decrease;dip;downturn;drop;fall;fall off;loss;plunge;slump', 'fourth-quarter': 'end;end quarter;final;final quarter;last quarter;last term', 'earnings': 'gain;income;profit;revenue', 'reflecting': 'display;harken;indicate;mirror;represent;show;suggest', 'restructuring': 'makeover;realign;rebuild;reconfiguration;regroup;remodel;renovation;reorganization', 'costs': 'amount;expenditure;expense;fee;outlay;overhead;price', 'as': 'along with;even', 'well': 'along with;much', 'more': 'additionally;extra;further;highly;increasingly;mostly;rather', 'difficult': 'challenging;competitive;complicated;demanding;hard;problematic;rough;stress;tough;tricky', 'pet': 'animal;domestic animal;domesticate creature;petkeeping', 'food': 'aliment;comestible;edibles;foodstuff;nourishment;nutriet;nutrition', 'market': 'business;economy;industry;marketplace;sector;selling arena'}","{'reported': 'posted;reported;reports;suffered;Reporting;signaled;Report', 'decline': 'drop;fall;slide;reduction;slump;jump;Dive;decrease;increase', 'fourth-quarter': 'third;fourth;second;first;fifth;sixth', 'earnings': 'profits;results;profit;year', 'reflecting': 'highlighting;citing;deepening;blaming;amid;reflects;lighting', 'restructuring': 'rising;higher;escalating;healthcare;steep;increased;import;lower', 'costs': 'charges;expenses;cost;rates;efforts;expense;woes', 'as': 'ap;,', 'well': 'much;long', 'more': 'less;increasingly;much;greater;somewhat;relatively;particularly', 'difficult': 'challenging;favorable;demanding;volatile;competitive;mature;robust;challenged;unfavorable;pressured', 'pet': 'processed;soft;veterinary;dog', 'food': 'foods;care;food;ri;supply;Care;ro', 'market': 'business;industry;environment;marketplace;sector;markets'}","{'reported': 'posted;reported;report;suffered;reporting;signaled;report', 'decline': 'drop;fall;slide;reduction;slump;jump;dive;decrease;increase', 'fourth-quarter': 'third;fourth;second;first;fifth;sixth', 'earnings': 'profit;result;profit;year', 'reflecting': 'highlighting;citing;deepening;blaming;amid;reflects;lighting', 'restructuring': 'rising;higher;escalating;healthcare;steep;increased;import;lower', 'costs': 'charge;expense;cost;rate;effort;expense;woe', 'as': 'ap;,', 'well': 'much;long', 'more': 'le;increasingly;much;greater;somewhat;relatively;particularly', 'difficult': 'challenging;favorable;demanding;volatile;competitive;mature;robust;challenged;unfavorable;pressured', 'pet': 'processed;soft;veterinary;dog', 'food': 'food;care;food;ri;supply;care;ro', 'market': 'business;industry;environment;marketplace;sector;market'}"
