sentence,target,gold_05,gold_01
"Dubai 10-28 (FP) - Dubai's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free zone for e-commerce today, called Dubai Internet City. The preliminary stages of the project, the only one of its kind according to its designers, are estimated at $200 million.",called,name;describe as,term;contact;hail;decree;proclaim;name;place;reckon;designate;hit;bleep;beep;describe as;denominate;require;consider;label;dub;elect;regard;title;declare
"BASRA, Iraq (AP) A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq said Wednesday it is important not only to force Baghdad to give up its weapons of mass destruction but also to do more to ease the hardships on ordinary Iraqis. Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposed on Iraq for its 1990 invasion of Kuwait, but said the United Nations should make sure that sanctions do not hurt innocent Iraqis.",ease,relax;let up on;lighten;decrease;make easier;calm;relieve;soften;aid;allay;soothe;improve;lessen;help;alleviate,loose;relax;slacken;let up on;comfort;attend to;lighten;decrease;make easier;calm;relieve;appease;guide;steer;move carefully;remove;lift;pacify;moderate;palliate;soften;right;aid;allay;smooth;soothe;improve;lessen;assuage;help;meliorate;simplify;mollify;doctor;facilitate;clear the way;cure;alleviate;ameliorate;disengage
"He stood in front of a blue light, so I couldn’t see him clearly, but what I saw was memorable. He wore a jacket of what might have been blue velvet, and his hair gleamed black against his white skin. The blue haze seemed to stop just shy of his pallor, setting off his striking face without illuminating its details, and his wrists flashed white in the darkness.",hair,mane,thatch;coiffure;mane;hairstyle;coif;quill;lock;wool;fiber;mop;eyebrow;eyelash;crown;whiskers
"The schedule Child and her assistant of 14 years, former pastry chef Stephanie Hersh, have laid out is not exactly a senior-citizen routine, even though Child has always been candid about her age and realistic in assessing her own capabilities. When the Pasadena native moved back to California from her long-time home in the Boston area last year, she also made the move from a condominium she and her late husband, Paul, had purchased many years ago to a progressive retirement home. She is in the most active of the four levels available, but should the need arise, she can move on to assisted living facilities within the same complex.",condominium,condo;townhouse;townhome,condo;townhouse;townhome
"""We were convinced then, and I still am, that we ended the war a year or two earlier. And what the casualties would have been, who knows -- but heavy."" ""On Tinian, and probably elsewhere, the Seabees were building enormous hospitals while we were there,"" he said.",knows,be sure;identify;can tell;can say,experience;be learned;notice;be sure;identify;can perceive;differentiate;have information;be versed;can tell;feel certain;can say;distinguish;think;fathom;understand information;be informed;can phantom;comprehend;recognize;predict
"This year four states besides New Mexico -- Georgia, Hawaii, Illinois and Tennessee -- have pending legislation for psychologist prescription privileges. Over the past decade, 14 state legislatures have considered such laws. Between 1991 and 1997, a U.S. Department of Defense psychopharmacology demonstration project involving two to four years' training produced 10 military psychologists who can write prescriptions.",state,state level;us state;statewide;government,form;state level;us state;commonwealth;estate;statewide;shape;government;country body
"He appears to have moved to France in 1989, according to news media reports, and is reported to have Israeli citizenship also. Comey said Tokhtakhounov had three residences in Italy: Forte dei Marmi, Rome and Milan. The complaint against Tokhtakhounov's traces his contact with figure skating to 2000, when he proposed to Gailhaguet the creation of a professional hockey team in Paris that would provide revenue for the French Skating Federation.",said,affirm;add;suggest;remark that;assert;tell;disclose;state;claim;imply;express;mention;remark;state that;reveal;declare;divulge;allege,affirm;add;suggest;remark that;assert;announce;deliver;verbalize;communicate;tell;put into words;speak;convey;answer;utter;come out with;relate;disclose;estimate;state;claim;imply;express;respond;gab;pronounce;mention;spiel;remark;report;make declaration;state that;reveal;relay;declare;make known;rehearse;yak;divulge;maintain;allege;voice;recite;rumor
"A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq said Wednesday it is important not only to force Baghdad to give up its weapons of mass destruction but also to do more to ease the hardships on ordinary Iraqis. Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposed on Iraq for its 1990 invasion of Kuwait, but said the United Nations should make sure that sanctions do not hurt innocent Iraqis. ""It was very, very important"" to compel Iraq to rid itself of weapons of mass destruction so that ""it cannot use or export them to other countries,"" he told Associated Press Television News.",innocent,cleanhanded;ordinary;offenseless;not guilty;unoffensive;crimeless;blameless;faultless;guiltless;unmalicious;unoffending;uninvolved;inoffensive;harmless,good;sinless;naive;cleanhanded;inculpable;ordinary;offenseless;exemplary;not guilty;wellmeant;stainless;lawful;clean;unoffensive;guilt-free;honest;crimeless;blameless;faultless;guiltless;unmalicious;unoffending;unsuspicious;uninvolved;inoffensive;harmless;unblemished;blameless above
"""This is a Silverplate request,"" he said. Silverplate: code word for the historic mission that would end World War II. Almost 1,800 men were assembled n late 1944 to join the top-secret unit called the 509th Composite Group.",code,classified;secret;secret language system,classified;encrypt;codify;cryptograph;cipher;symbolic;secret;encode;secret language system;system
"Her candy lips twisted into a frown. The dark glow grew stronger and larger, filling the air for about a foot around her hands. In her palms, the droplets of blood swelled into small pools.",dark,gloomy;shadowy;lightless;shady;darkened;blackish;pitchblack,forbidding;gloomy;black;sunless;infernal;evil;dusky;pitch-dark;shadowy;wicked;lightless;murky;deep;clouded;cloudy;overcast;grimy;lack of light;shady;dun;cryptic;hopeless;tan;somber;mystifying;vile;dark-complexioned;grey;darkened;ebon;bad;horrible;angry;nebulous;faint;scowling;dull;foggy;opaque;shaded;morose;shadow;indistinct;concealed;benighted;grim;arcane;bleak;mysterious;foul;ebony;drab;mournful;inky;dismal;sooty;unenlightened;mystical;sinister;foreboding;blackish;misty;ill-lighted;pitchblack;dusk
"The crew was horrified by the purple mushroom cloud that climbed to 10 miles and looked as if it would engulf the Enola Gay. More shocking was the city of Hiroshima, which was on fire and bubbling like tar. ""We were all appalled,"" the pilot said in his book ""The Tibbets Story.""",fire,ablaze;burning,up in smoke;blaze;flare;pep;bombing;bombarding;tinder;crossfire;warmth;hearth;life;exhilaration;ablaze;burning;inferno;barrage of projectiles;embers;light;sea of flames;flames;sparks
"He cited the case of a Swiss oil trader who recently put out bids via telex for an oil tanker to pick up a cargo of crude in the Middle East. Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. The Soviets' eavesdropping paid off, however, because they got the contract.",bid,offer;proposal;request;proposition,offer;price;proposal;submission;try;crack;sum;invitation;attempt;hit;amount;proffer;tender;request;venture;summons;proposition;offering of money or services
"The new plant is part of IBM's push to gain a strong lead in chip-making beyond the personal computer business, where Intel and East Asian chip producers hold the advantage. ""The core of our strategy is to lead in technology and attack the high-performance segments of the market,"" said John Kelly, senior vice president in charge of IBM's technology group. An advantage to having the semiconductor fabricating factory here, Kelly explained, was that it was very close to its research laboratories in nearby Westchester County, N.Y. To stay ahead in advanced chip technology, he said, moving innovations out of the labs and into the factory as fast as possible is crucial.",high,elevated;strong;great;powerful;superior;soaring;leading;huge;big,elevated;noble;elated;acute;chief;towering;strong (on the senses);exalted;capital;important;lighthearted;colossal;tremendous;strong;high-reaching;joyful;sky-scraping;giant;extraordinary;great;powerful;superior;formidable;altitudinous;grand;extravagant;unusual;tall;good;intoxicated;flying;soaring;stoned;tipsy;leading;huge;big;steep;well
"I took about half of the Bloody Mary in one gulp and then ate the celery. Nepthys slapped me on the back. “Okay,” I said, “now that we’re sitting down, can you explain a little more of what’s going on here?",back,rear;backside;back end,tail end;spine;hindpart;tailpiece;rear;backside;extremity;posterior;back end;hind;shoulder;hindquarters;reverse
"In a few minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street. I heard the pulse already.",laughing,expressing amusement,grin;roar;titter;die laughing;giggle;crack up;snicker;chuckle;bellow;split ones sides;expressing amusement
"Glancing back at that gleaming glare, I decided that it might be safer to follow the driver than to wait with the car. I hopped out, ran after him, and reached him just as he was knocking on the door. Someone opened it a crack, then ushered us in.",reached,approach;meet;catch up to;get to,grab;come at;win;pass along;come to;go to;go on;achieve;approach;catch up with;score;meet;hold out;drop;get as far as;end;gain on;extend to;catch up to;get in touch;arrive at;contact;get a hold of;check in;get to;come up to;grasp;get;arrive
"“Sure, babe. Come on, I don’t have to get fucked up every time we go out just to enjoy myself. Let’s not waste any more time.”",get,become;be,lay hold of;reap;bother;straighten;get hands on;inherit;touch;have;access;gain;become;go;come;be;receive;draw near;accomplish;extract;clean up;make it;coax;arrive;chalk up;bring in;win over;sway;attain;net;reach;catch;become infected with;grow;sire;obtain;fetch
"It’s exhausting to talk to those people. One wrong word and you find yourself cursed with infinite earwax or something. So what else do you want to know, Nathan?”",something,the like;whatnot,some such;similar;the like;so;another;else;anything;substance;whatnot;existent;thing;like
"This story might be interesting. Does it have anything to do with why your head is shaved?” “It was part of the price for this girl, who was a rock at the time,” explained Nepthys.",head,scalp;dome;skull;hair,top story;forefront;mind;coconut;scalp;dome;cap;noggin;skull;hair;thinker;cranium;top dog;brain;front;height;pitch;commanding officer;climax
"“True, true. Step behind the cart and enter through the door there, using your left hand to open the door and your right – ” he looked at me “ – to close it.”",Step,walk;maneuver;go;move;tread,walk;maneuver;stand;go;move;start;advancement;mark;stepping;motion;gradation;track;run;stride;tread;advance
"Denise Hale, social icon and Liza Minnelli's stepmother: ""Julia Child gave to all women one beautiful present: Watching her series you found out you don't have to be perfect."" Francis Ford Coppola, film director: ""I think she's a fascinating woman, and I enjoy very much watching her shows with Jacques Pepin."" Harry Denton, San Francisco nightclub owner: ""My favorite thing about her is her straightforward honesty and that her favorite food is butter.",director,,supervisor;maker;governor;key player;overseer;head;executive officer;controller;big person;exec;administrator;executive;producer
"He took another shot of vodka. “Shouldn’t you be going light on the vodka? I mean, we might have a lot of work ahead of us.”",light,soft;minimal;moderate;easy;faint;mild;modest;not heavy;gentle,soft;minor;minimal;small;scanty;manageable;insubstantial;moderate;easy;faint;unheavy;not many;frugal;mild;tissuelike;sparse;modest;not heavy;thin;portable;rich;little;lean;insufficient;loose;gentle;slight;delicate;small in;amount
"The nationwide boycott of Chilean seabass is a potent example of the new activism. ""I have made it a policy of mine never to serve Chilean seabass,"" said Billy Hahn, executive chef at Jake's Famous Crawfish, a Portland, Ore., landmark since 1892. ""I refuse to sell it.""",chef,culinary artist;gourmet chef;cook,culinary artist;sous chef;gourmet chef;cook
"Somewhere toward the center of the dance floor, I heard a howl that sent bitter winds under my clothing – for a second, I was back with my family in Russia, hiding from the cold. Then I felt a tug on the back of my shirt and noticed that Amy was following me. I gathered her under my arm.",noticed,discern;recognize;observe;realize;detect;perceive;see;note,regard;look at;discern;espy;take in;recognize;make out;acknowledge;observe;spot;view;heed;realize;detect;perceive;see;note;catch;pick up on
"A girl’s voice, soft and almost recognizable, spoke, “Nathan.” I felt my head turn and something in my neck reconnected. Then my eyes opened and Amy handed me the hammer and stake.",turn,move;swivel;rotate;turning;twist;pivot;bend;whirl;go around;spin,move;reversion;outing;faculty;tendency;leaning;opportunity;spiral;propensity;walk;start;turnabout;warp;bump;surprise;swivel;rotate;crotch;gift;blow;attack;quirk;turning;twisting;twist;angle;pivot;direction;heading;revolution;gesture;fling;alteration;right-about;about-face;pirouette;bend;whirl;curve;circle;roll;reverse;swing;go around;spin
"“What do you mean?” “Okay, take elves.” He caught the bartender’s eye for another shot.",elves,,sprite;elfin;fay;fairy
"“Mountain ash,” said Nepthys. “That was very kind of her.” Closing the box, he paused beside the open door and looked back at me.",very,"greatly;extensively;extremely;particularly;exceedingly;profoundly;considerably;terribly;incredibly;awfully;absolutely;quite;rather;remarkably;extra;highly;so;extraordinarily;truly;much, really","superlatively;greatly;surprisingly;extensively;amply;extremely;particularly;positively;emphatically;eminently;powerfully;exceedingly;profoundly;vastly;considerably;acutely;terribly;incredibly;pretty;wonderfully;awfully;deeply;absolutely;certainly;quite;rather;remarkably;excessively;astonishingly;decidedly;extra;noticeably;uncommonly;surpassingly;unusually;notably;highly;so;extraordinarily;truly;much, really"
"It’s been over a week, and I want to dance. Let’s go together, you know you’ll have fun once you get into it.” She bit the inside of her bottom lip, looking at me like I was breaking her poor, sweet heart.",Let,,we will;we should;allow
"The man looked over forty, and he was driving a car I’d be afraid to drive on this street. “It’s a long way to anywhere worth going,” he said.",long,extensive;distant;longish;far;lengthy,forever and a day;excessive in length;prolonged;protracted;fair;interminable;enduring;stretch;far-off;extensive;spread out;limitless;long-winded;distant;elongated;lengthened;great;faraway;boundless;longish;drawn out;lingering;lanky;far;lengthy;delayed;longdrawn-out
"And the first person he chose to join him was Karnes, though he couldn't reveal the mission to Karnes. Karnes, 87, is a retired history professor who lives in suburban Austin with his wife, Virginia, who also worked for the 509th as a civilian bookkeeper for six months. Karnes was Tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications.",history,,history subject;antiquity;days of old;saga;version;past events;chronicle of events
"""He's a good defender, he has a good arm, he plays the tough right-field position and plays it well. He's a right-handed bat, which complements Palmeiro off the bench. ""From a realistic standpoint, were we going to find an outfielder that pushed one of our outfielders to the bench?",complements,assist,help;consummate;aid;add something to;enhance;complete;perfect;assist;balance
"The light in the corners of my eyes rushed in, converging on the rosy glow around the stone, and for a moment I was blind. Then I opened my eyes again and saw a girl lying in the street. There was no sign of the stone.",girl,adolescent;lady;young woman;schoolgirl;damsel;young lady;female,adolescent;child;young female person;lady;she;mademoiselle;youth;teenager;lass;young woman;schoolgirl;damsel;young lady;daughter;female;miss;ms
"He bashed up a set of stairs set into the side of the wall, and we chased up after him, heading up a huge staircase that seemed to go up for more stories than the building could have held. Luckily, the vampire turned off after three stories. He ran down a hallway and slipped behind one of the doors, but Nepthys was close behind him and left it open for me.",turned,change course;veer,pivot;go around;divert;form;deviate;appeal;move;convert;get;face about;subvert;render;remodel;diverge;about-face;detour;depart;change course;change direction;swirl;loop;reverse;whirl;change sides;shape;invert;prejudice;sway;shift;shy away;modify;redirect;aim;swerve;incline;make a left;roll;go over;rechannel;refashion;veer;turn ones energies to;change ones mind
"""He was so knowledgeable he just got things done, allowing me to concentrate on other matters. I was very lucky to have Tom."" Tibbets quickly returned to Wendover after that first visit to set up his headquarters. His first order appointed Karnes adjutant for the 509th.",first,original;initial;introductory,debut;original;inceptive;lead off;early;initial;numero uno;premier;key;preeminent;primordial;opening;main;head of the line;predominant;introductory;inaugural;a-number-1
"Then one set of footsteps began walking toward the altar. I was content to let myself drift away, and I had almost forgotten the body lying with broken neck on the cathedral’s hard tiles when I felt a warm touch on its cheek. A girl’s voice, soft and almost recognizable, spoke, “Nathan.”",broken,smash;fracture;snapped;damage;shatter;cracked;fractured,sever;demolish;smash;fracture;snapped;impair;damage;shatter;violate;splinter;crash;tear;cracked;downgrade;discontinue;separate;cripple;impart;bust up;rend;bust;cut;fractured;erupt;crack;clear out;breach;make public;beat;demerit;suspend;divide;snap;weaken;destroy
Flights are not permitted into Iraq. Hall is to return to Washington on April 22. Story Filed By Cox Newspapers,return,go back;arrive back;report;come back,give back;put back;retreat;restore;roll back;state;carry back;react;come to;transmit;depart;reply;thrust back;go back;arrive back;report;repay;reimburse;net;render;send back;retaliate;re arrive;respond;retort;come in;come back;arrive at;leave
"She didn’t shed a bead of sweat, and I didn’t even see her draw a breath, but the glow around her hands shuddered like a stubborn candleflame. Then her fingers tensed and her arms began to shake. The blood in her palms, still filling up, began to ripple.",tensed,tighten,jittery;unnerved;strained;tighten;tight;stressful;stiff;clutched;hung up;on edge;firm;become taut;uptight
Then my eyes opened and Amy handed me the hammer and stake. I stood and turned toward the altar. The vampire was walking just steps ahead of me.,turned,swerve;shift;spin;twirl;rotate;redirect;pivot;change position;face;swivel;move;veer,about-face;change course;swerve;shift;spin;whirl;twirl;rotate;modify;sidetrack;face about;twist;direct;get;redirect;mold;unsettle;transpose;revolt;pivot;look;come around;come;pirouette;position;change position;disorder;rechannel;transmute;strain;make one sick;run;swirl;go around;revolve;face;swivel;approach;circle;subvert;double back;go;round;move;taint;rat;veer
"I can send you to a guy who knows all about them, though. If this cat’s for real, I bet my friend can tell you everything you need to know.” “You’re a wonder, Dvorov.",need,want;wish;desire;be in need of;necessitate;feel the necessity for;ought;require;have,want;be needy;feel the pinch;have occasion for;thirst;call for;wish;desire;yearn;be in need of;necessitate;feel the necessity for;have use for;ought;require;have
"I must have fallen to the floor then. I could perceive Nepthys’ sword flashing over me, and I heard steel crack, then bone. I thought I heard Rachel’s voice blearily calling for me.",heard,listen to;overhear,have on good authority;audibly detect;discover;listen;listen to;catch;attend;give attention;make out;learn;devour;overhear
"Then her fingers tensed and her arms began to shake. The blood in her palms, still filling up, began to ripple. Shivers swept through her body, and Nepthys reached out to touch her but I stopped him.",began,start;commence,crop up;spring;get going;start;establish;commence;enter on;kick off;bud;dawn;embark on;initiate;induce;get under way;grow out of;break ground;produce;make active;prepare;be born;emerge;derive from;come out;set about;happen;eventuate;sprout;set up;cause;set in motion
"After the Winter Olympics, a French judge, Marie-Reine Le Gougne, was suspended by the International Skating Union for not reporting pressure she said was put on her by Didier Gailhaguet, president of the French Skating Federation, to vote for the Russian pairs team. She later recanted and said that Canadian officials had pressured her. The ISU later suspended Le Gougne and Gailhaguet for three years.",said,make known;declare;convey;divulge;state;mention;announce;claim;allege;disclose;remark;reveal;verbalize;assert,gab;make known;declare;put into words;convey;imply;make declaration;reply;orate;divulge;state;recite;mention;utter;answer;announce;pronounce;claim;maintain;opine;allege;disclose;guess;express;tell;affirm;speak;remark;rap;reveal;verbalize;report;yak;communicate;come out with;assert;suggest;admit;conjecture;give voice
“It is. I would have sworn to you that he was dead. He should be.,sworn,take an oath;pledge;testify;promise;swear by;state under oath;insist;vow;declare under oath;swear to god,take an oath;pledge;depose;testify;promise;swear by;vouch;proclaim;state under oath;assert;insist;avow;vow;give witness;declare under oath;attest;swear up and down;give ones word;cross ones heart;swear to god
"Nathan’s Bylichka Dedicated to Neil Gaiman, Radiohead and Black Sabbath Strange things have always happened to my family. It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times.",things,stuff;phenomenon;incident;event,stuff;phenomenon;occurrence;act;episode;contrivance;incident;affair;circumstance;event;impression;detail;action;matter;concern;stunt;chattels;belongings;personal possessions;trappings;business
I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.” “You’ve got a deal.,name,first name;name,moniker;surname;epithet;trade name;signature;monogram;handle;heading;first name;designation;stage name;esteem;repute;notability;name;style
"Again, I do not have all of the information for July and August, so I cannot give you any numbers. If I go by what is currently in the system as a guide, Pasadena would owe Enron a little over $1 mil. I need to forecast the money today, so please let me know what you would like to do.",go,act;abide;proceed,act;push on;bend;continue;abide;take;function;conform;agree;progress;harmonize;carry on;work;proceed;approach;put up with;run along;operate;stand;advance;conclude;pass on;allow;permit;avail;endure;pass;squander;move;run;concur
"IRAQ-POVERTY (Washington) Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flow of food and medicine into Iraq. Hall, who recently returned from a trip to Iraq, said U.N. economic sanctions have hurt millions of civilians there.",flow,transfer;transportation;transmission;movement;stream,flux;continuation;current;progression;transfer;sequence;transportation;travel;transmission;continuance;plethora;outflow;run;outpouring;movement;issue;discharge;stream
"The blue haze seemed to stop just shy of his pallor, setting off his striking face without illuminating its details, and his wrists flashed white in the darkness. He didn’t move, just stared and held his drink. The next time I saw them, his mouth was moving.",just,but;simply,only;nothing but;but;solely;just now;simply;just a while ago;merely;precisely;exactly;scarcely;plainly;right;presently;accurately
"He’s sitting right there at the bar!” Dvorov tried to peek through the crowd, but it had shifted again and we couldn’t see a thing. “I don’t think he’s there,” Dvorov shouted to me.",tried,make an effort;make an attempt;attempt;strive;strain,fight;decide;experiment;venture;check out;speculate;struggle;make an effort;make an attempt;endeavor;attempt;vie for;proceed;aspire;shoot for;bother;tire;referee;prove;stress;exert oneself;strive;go for;strain;seek;do ones best
"Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed. I noticed when my back hit the wall that I was walking backwards.",thin,"slim;bony;twiggy;twiglike;scrawny;lanky;skeletal;gaunt;feeble;slender;delicate;paper-thin;wafer-thin;skinny;lean;narrow;fine, light, slender","underweight;slim;emaciated;bony;twiggy;scant;beanpole;unpersuasive;sheer;puny;rare;beanstalk;scraggy;featherweight;flat;twiglike;scrawny;slight;refined;lank;sparse;attenuated;spare;poor;weak-kneed;reedy;lanky;skeletal;meager;gaunt;feeble;subtle;undernourished;gangling;slender;delicate;paper-thin;lightweight;fine;threadlike;sketchy;wafer-thin;haggard;stilt;small;insufficient;skinny;lean;narrow;stick;fine, light, slender"
"There’s no time to waste.” He saw that I wasn’t moving. Setting an arm on my shoulder, he said, “Nathan, what you see here might be frightening, but those things you saw are people just like you.",moving,proceed;proceeding;budge,movement;inch;motion;step;proceed;stirring;walk;act;proceeding;maneuver;budge;stir
"I don’t want my customers thinkin’ that anything’s wrong, you know?” “Of course. We’ll be in and out in a minute.”",course,a surety,a surety
"The stone was as warm as human flesh now, and there was a sort of glow that might have been light or just the stone’s soft heat, I don’t know. Then there was light, a kind of rosy glow, and I felt the stone slip out of my hand to float in the air. The air around me seemed to still sound, and light came in around the corners of my eyes.",air,,ambience;waft;midair;gases forming the atmosphere;space;ozone;draft;tone;strain;breath;bearing;ventilation;presence;atmosphere;breeze;wind;sky
“I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people. One wrong word and you find yourself cursed with infinite earwax or something.,people,folk;folks;human beings;humans;common people;persons;citizens;mortals,folk;folks;person;guy;human beings;humans;common people;persons;citizens;masses;family;mortals;kin;human race;nation;humankind;community;population;plebeians
"For information about becoming a client of this service, contact the New York Times Syndicate sales representatives listed at the end of the text.) BY CHRISTINE SOARES c.2002 Scientific American Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. The state's action, the first in the nation, has the blessing of the American Psychological Association (APA), which considers prescriptive authority a logical extension of psychologists' role as health-care providers.",access,"accessibility;admission, means of entry, approach;connection;entry","admittance;accessibility;availability;avenue;unrestricted use;entree;admission;door;route;way;passage;in;open door;admission, means of entry, approach;connection;entry;open arms;ingress"
"The factory will produce a wide range of specialized semiconductors used in everything from the largest mainframe computers to cell phones and video-game consoles. The new plant is part of IBM's push to gain a strong lead in chip-making beyond the personal computer business, where Intel and East Asian chip producers hold the advantage. ""The core of our strategy is to lead in technology and attack the high-performance segments of the market,"" said John Kelly, senior vice president in charge of IBM's technology group.",strong,decisive;sturdy;big;enduring;substantial;sharp;sound;formidable;major;intense;hardy;certain;overpowering;well-established;robust;convincing;powerful;stable;sizable;strengthened;secure;firm;solid;clearcut,hearty;persuasive;steadfast;decisive;sturdy;compelling;big;weighty;enduring;able;active;strong-flavored;severe;undiluted;perceptive;well-founded;strict;stout;substantial;brave;brilliant;dazzling;glaring;influential;sharp;marked;forceful;resolute;resilient;hard;dedicated;heavy;sound;steady;rich;formidable;major;intense;hardy;fixed;fierce;capable;certain;overpowering;aggressive;well-established;effective;determined;robust;vigorous;uncompromising;athletic;convincing;powerful;high;clear;bold;stable;mighty;sizable;distinct;strengthened;drastic;secure;stalwart;firm;great;solid;healthy;clearcut
"I can only answer one question at a time. I know your family because an ancestor of mine made a bargain with an ancestor of yours. I am here now because you called for help, and no-one else would answer.”",mine,myself,myself;me;yours truly;ours
"We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town. The sky, cupping over squat buildings, was less yellow here, and stands were set up everywhere the way I’d picture a market in the Middle East. Nepthys took us immediately to the right, where he led us to a cart filled with herbs.",stands,kiosk;table;booth;stall,platform;cubicle;kiosk;standpoint;counter;table;booth;stall
"His skin was brown and stretched, like some diseased sapling’s bark. It pulled back around his fingertips, which bore things that might have been nails or claws. When he grinned, I saw that his teeth were sharp and small, like a hunting cat’s.",things,object;stuff;feature;equipment,"characteristic;attribute;event;materiality;shape;commodity;idea;concept;facet;part;concern;appendage;instrument;piece;object;implement;mechanism;form;something;everything;stuff;trait;feature;something felt, seen, perceived;belongings;personal possessions;luggage;personal effects;gear;equipment;odds and ends;apparatus;goods;personals;paraphernalia"
"Her hands twitched and a drop of blood shook out, splashing on the crease of her thigh and hanging to one strand of the black hair between her legs. She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam. Isis collapsed on the fur, strings cut.",gasped,draw breath in sharply;breathe hard,draw breath in sharply;fight for breath;pant;breathe;inhale;breathe hard;catch ones breath
"Karnes, like the hundreds of others gathered along the flight line, was jubilant. He knew the war would soon be over and he would be heading home. A yearof secrecy and hard work wasover.",over,settle;through;conclude;end;finish,on high;settle;through;conclude;off;end;finish
"She told me that she was heading for a drink and slipped out of the crowd. When she hadn’t come back halfway through the next song, I glanced over at the bar. It was just a little set-up where someone had stacked a few crates and brought something alcoholic to share, mostly beer.",next,coming;succeeding;follow;subsequent;following,"coming;adjacent;consequent;proceeding;proximate;ensuing;back-to-back;succeeding;follow;subsequent;after;following;coming immediately after in space, time, order"
"In addition, operating results were hit by an increase in loan and real estate loss reserves. In American Stock Exchange composite trading, Citadel shares closed yesterday at $45.75, down 25 cents.",composite,combined;mixed,combined;mixed
"I shouted, hardly able to hear myself. Nepthys was saying something that looked like, “I have no idea!” but I couldn’t hear him.",something,,some such;stuff
"She never subscribed to cuisine minceur, cholesterol-free cooking, meat-free meal plans, organic food or any of the other politically correct trends of different times -- and that includes restricted diets, in spades. However, an active woman all her life, she is aware of the need to keep ones weight and fitness in mind. Here are her personal rules for achieving these goals:",mind,thought;thoughts,desire;eye;remembrance;memory;wisdom;mentality;reasoning;conception;fancy;notion;thinker;way of thinking;observation;disposition;view;point of view;thought;thoughts;subconscious;regard
"“I found your vampire,” she said, “but he might know that someone’s looking for him. He’s taken great pains to keep himself hidden. You should look for him at Dvorov’s as quickly as you can.” She turned to me with tired sympathy.",look,search;scout;seek,hunt;see;spy;ask;eye;focus;search;gaze;scout;heed;seek;get a load of;view;observe;scan;feast ones eyes
"A moment later, he opened them again and stepped aside to let us in. Nepthys walked straight past him and I tried to keep up, taking Amy’s small hand so that she wouldn’t lag behind. I shivered as I walked past the pale man’s blank eyes, wondering what they were staring at.",small,pint-sized;petite;miniature;undersized;small-scale;teeny;tiny;little,pint-sized;petite;mini;unessential;poor;light;miniature;shrimp;diminutive;undersized;minuscule;bitty;minute;paltry;small-scale;humble;modest;teeny;tiny;little;young;teensy;puny;insignificant;wee;tiny in size;baby
"Even rank amateurs can do it if they spend a few thousand dollars for a commercially available microwave receiver with amplifier and a VCR recorder. They need only position themselves near a company's satellite dish and wait. ""You can have a dozen competitors stealing your secrets at the same time,"" Mr. Matchett said, adding : ""It's a pretty good bet they won't get caught.""",only,just;merely;nothing but;exclusively;simply;solely,at most;just;merely;utterly;nothing but;exclusively;simply;solely
"Contrary to what some restaurants and retailers tell their customers, the U.S. government does not consider the Chilean seabass to be endangered. But in some areas, the seabass are being overfished. That is potentially a problem because Chilean seabass are a long-lived species -- living as long as 50 years -- and reproduce slowly, said Susan Buchanan, a spokeswoman for the federal government's National Marine Fisheries Service.",areas,location;locality;place;space;region;part of the world;territory;zone;neck of the woods,tract;patch;expanse;district;location;vicinity;locality;place;plot;space;section;water;region;domain;sector;part of the world;neighborhood;range;territory;zone;neck of the woods
"“Roll up your sleeves,” she told me. She opened the bowl and carefully, gingerly brought out a fat, dripping leech. It must have been larger than my finger.",leech,sucker;parasite;bloodsucker;blood sucker,barnacle;sucker;worm;parasite;slug;creature;bloodsucker;blood sucker
"“Why, the merchandise, of course,” she said. Nepthys leaned close to my ear. “This is a slave shop,” he explained quietly.",ear,,hearing;head;face;lobe
